Year,Language,Lang_Enrol,Lang_Enrol_Pct
1958,Chinese,615,0.0014
1959,Chinese,959,0.0018
1960,Chinese,1833,0.003
1961,Chinese,2200,0.0034
1962,Chinese,2299,0.0032
1963,Chinese,2444,0.003
1964,Chinese,2818,0.003
1965,Chinese,3359,0.0032
1966,Chinese,3954,0.0036
1967,Chinese,4538,0.0041
1968,Chinese,5061,0.0045
1969,Chinese,5535,0.0048
1970,Chinese,6238,0.0054
1971,Chinese,7393,0.0068
1972,Chinese,8752,0.0085
1973,Chinese,9949,0.0102
1974,Chinese,10616,0.0112
1975,Chinese,10536,0.0113
1976,Chinese,10088,0.0108
1977,Chinese,9798,0.0105
1978,Chinese,10054,0.0108
1979,Chinese,10682,0.0116
1980,Chinese,11366,0.0123
1981,Chinese,11887,0.0127
1982,Chinese,12406,0.0131
1983,Chinese,13178,0.0137
1984,Chinese,14359,0.0148
1985,Chinese,15710,0.016
1986,Chinese,16891,0.0168
1987,Chinese,17661,0.0169
1988,Chinese,18173,0.0166
1989,Chinese,18678,0.0163
1990,Chinese,19427,0.0164
1991,Chinese,20599,0.0172
1992,Chinese,22078,0.0187
1993,Chinese,23675,0.0203
1994,Chinese,25202,0.0219
1995,Chinese,26471,0.0232
1996,Chinese,27354,0.0239
1997,Chinese,27967,0.0241
1998,Chinese,28488,0.024
1999,Chinese,29111,0.0237
2000,Chinese,30093,0.0235
2001,Chinese,31708,0.0237
2002,Chinese,34227,0.0245
2003,Chinese,37810,0.0261
2004,Chinese,42157,0.0282
2005,Chinese,46855,0.0306
2006,Chinese,51490,0.0327
2007,Chinese,55683,0.0344
2008,Chinese,59194,0.0358
2009,Chinese,61817,0.0369
2010,Chinese,63392,0.038
2011,Chinese,63937,0.0389
2012,Chinese,63518,0.0395
2013,Chinese,62198,0.0398
2014,Chinese,60083,0.0396
2015,Chinese,57443,0.0391
2016,Chinese,54589,0.0385
2017,Chinese,51821,0.038
2018,Chinese,49396,0.0377
2019,Chinese,47563,0.0378
2020,Chinese,46569,0.0383
2021,Chinese,46661,0.0395
1958,Filipino,1,0
1959,Filipino,1,0
1960,Filipino,1,0
1961,Filipino,-0,0
1962,Filipino,5,0
1963,Filipino,14,0
1964,Filipino,23,-0
1965,Filipino,28,0
1966,Filipino,27,0
1967,Filipino,22,0
1968,Filipino,14,0
1969,Filipino,9,-0
1970,Filipino,31,0
1971,Filipino,98,1e-4
1972,Filipino,189,1e-4
1973,Filipino,274,2e-4
1974,Filipino,325,3e-4
1975,Filipino,321,3e-4
1976,Filipino,287,3e-4
1977,Filipino,255,3e-4
1978,Filipino,251,3e-4
1979,Filipino,261,3e-4
1980,Filipino,263,3e-4
1981,Filipino,240,3e-4
1982,Filipino,206,2e-4
1983,Filipino,181,2e-4
1984,Filipino,180,2e-4
1985,Filipino,196,2e-4
1986,Filipino,220,2e-4
1987,Filipino,242,2e-4
1988,Filipino,266,2e-4
1989,Filipino,298,3e-4
1990,Filipino,342,3e-4
1991,Filipino,403,4e-4
1992,Filipino,475,4e-4
1993,Filipino,551,5e-4
1994,Filipino,622,5e-4
1995,Filipino,680,6e-4
1996,Filipino,721,6e-4
1997,Filipino,755,7e-4
1998,Filipino,794,7e-4
1999,Filipino,849,7e-4
2000,Filipino,924,7e-4
2001,Filipino,1021,8e-4
2002,Filipino,1142,8e-4
2003,Filipino,1284,9e-4
2004,Filipino,1423,9e-4
2005,Filipino,1528,0.001
2006,Filipino,1569,0.001
2007,Filipino,1529,0.001
2008,Filipino,1444,9e-4
2009,Filipino,1360,8e-4
2010,Filipino,1316,8e-4
2011,Filipino,1305,8e-4
2012,Filipino,1314,8e-4
2013,Filipino,1325,8e-4
2014,Filipino,1327,8e-4
2015,Filipino,1320,9e-4
2016,Filipino,1308,9e-4
2017,Filipino,1294,9e-4
2018,Filipino,1276,0.001
2019,Filipino,1255,0.001
2020,Filipino,1228,0.001
2021,Filipino,1195,0.001
1980,Hindi,274,3e-4
1981,Hindi,267,3e-4
1982,Hindi,279,3e-4
1983,Hindi,306,3e-4
1984,Hindi,343,3e-4
1985,Hindi,378,4e-4
1986,Hindi,401,4e-4
1987,Hindi,403,4e-4
1988,Hindi,398,4e-4
1989,Hindi,401,4e-4
1990,Hindi,431,4e-4
1991,Hindi,499,4e-4
1992,Hindi,597,5e-4
1993,Hindi,715,6e-4
1994,Hindi,839,7e-4
1995,Hindi,957,8e-4
1996,Hindi,1062,9e-4
1997,Hindi,1164,0.001
1998,Hindi,1279,0.0011
1999,Hindi,1416,0.0012
2000,Hindi,1567,0.0012
2001,Hindi,1719,0.0013
2002,Hindi,1857,0.0013
2003,Hindi,1974,0.0013
2004,Hindi,2084,0.0014
2005,Hindi,2205,0.0014
2006,Hindi,2355,0.0015
2007,Hindi,2540,0.0016
2008,Hindi,2711,0.0017
2009,Hindi,2804,0.0017
2010,Hindi,2776,0.0017
2011,Hindi,2657,0.0016
2012,Hindi,2497,0.0016
2013,Hindi,2346,0.0015
2014,Hindi,2242,0.0015
2015,Hindi,2175,0.0015
2016,Hindi,2124,0.0015
2017,Hindi,2069,0.0015
2018,Hindi,2004,0.0015
2019,Hindi,1926,0.0015
2020,Hindi,1831,0.0015
2021,Hindi,1716,0.0015
1958,Japanese,844,0.0019
1959,Japanese,1271,0.0024
1960,Japanese,1754,0.0029
1961,Japanese,1976,0.003
1962,Japanese,2285,0.0031
1963,Japanese,2718,0.0033
1964,Japanese,3173,0.0034
1965,Japanese,3505,0.0034
1966,Japanese,3636,0.0034
1967,Japanese,3803,0.0034
1968,Japanese,4324,0.0038
1969,Japanese,5381,0.0046
1970,Japanese,6620,0.0057
1971,Japanese,7647,0.0069
1972,Japanese,8439,0.0081
1973,Japanese,9068,0.0092
1974,Japanese,9604,0.0101
1975,Japanese,10095,0.0108
1976,Japanese,10491,0.0112
1977,Japanese,10721,0.0115
1978,Japanese,10779,0.0117
1979,Japanese,10933,0.0119
1980,Japanese,11516,0.0125
1981,Japanese,12749,0.0136
1982,Japanese,14401,0.015
1983,Japanese,16126,0.0167
1984,Japanese,17770,0.0184
1985,Japanese,19946,0.0206
1986,Japanese,23454,0.0234
1987,Japanese,28770,0.0272
1988,Japanese,35051,0.0314
1989,Japanese,41128,0.0355
1990,Japanese,45830,0.0387
1991,Japanese,48283,0.0406
1992,Japanese,48796,0.0413
1993,Japanese,47973,0.0412
1994,Japanese,46418,0.0404
1995,Japanese,44737,0.0393
1996,Japanese,43465,0.0381
1997,Japanese,42868,0.0371
1998,Japanese,43141,0.0364
1999,Japanese,44410,0.0361
2000,Japanese,46510,0.0362
2001,Japanese,49205,0.0367
2002,Japanese,52257,0.0374
2003,Japanese,55464,0.0383
2004,Japanese,58754,0.0394
2005,Japanese,62092,0.0405
2006,Japanese,65440,0.0415
2007,Japanese,68657,0.0424
2008,Japanese,71189,0.043
2009,Japanese,72379,0.0432
2010,Japanese,71822,0.043
2011,Japanese,70134,0.0425
2012,Japanese,68183,0.0424
2013,Japanese,66837,0.0428
2014,Japanese,66723,0.0441
2015,Japanese,67497,0.0461
2016,Japanese,68569,0.0483
2017,Japanese,69415,0.0505
2018,Japanese,69760,0.0525
2019,Japanese,69391,0.0541
2020,Japanese,68096,0.0552
2021,Japanese,65661,0.0555
1970,Korean,101,1e-4
1971,Korean,90,1e-4
1972,Korean,82,1e-4
1973,Korean,81,1e-4
1974,Korean,87,1e-4
1975,Korean,102,1e-4
1976,Korean,127,2e-4
1977,Korean,163,2e-4
1978,Korean,211,3e-4
1979,Korean,276,3e-4
1980,Korean,365,4e-4
1981,Korean,477,5e-4
1982,Korean,586,6e-4
1983,Korean,660,7e-4
1984,Korean,687,7e-4
1985,Korean,730,8e-4
1986,Korean,875,9e-4
1987,Korean,1177,0.0011
1988,Korean,1582,0.0014
1989,Korean,2009,0.0017
1990,Korean,2375,0.002
1991,Korean,2622,0.0022
1992,Korean,2786,0.0023
1993,Korean,2922,0.0025
1994,Korean,3088,0.0027
1995,Korean,3343,0.0029
1996,Korean,3716,0.0032
1997,Korean,4130,0.0036
1998,Korean,4479,0.0038
1999,Korean,4691,0.0039
2000,Korean,4823,0.0038
2001,Korean,4966,0.0037
2002,Korean,5211,0.0037
2003,Korean,5619,0.0038
2004,Korean,6135,0.0041
2005,Korean,6672,0.0043
2006,Korean,7146,0.0045
2007,Korean,7513,0.0046
2008,Korean,7893,0.0047
2009,Korean,8449,0.005
2010,Korean,9289,0.0056
2011,Korean,10308,0.0063
2012,Korean,11350,0.0071
2013,Korean,12256,0.0079
2014,Korean,12918,0.0086
2015,Korean,13425,0.0092
2016,Korean,13912,0.0098
2017,Korean,14504,0.0106
2018,Korean,15275,0.0116
2019,Korean,16286,0.0128
2020,Korean,17597,0.0144
2021,Korean,19270,0.0163
1980,Vietnamese,74,1e-4
1981,Vietnamese,61,1e-4
1982,Vietnamese,65,1e-4
1983,Vietnamese,85,1e-4
1984,Vietnamese,117,1e-4
1985,Vietnamese,151,2e-4
1986,Vietnamese,175,2e-4
1987,Vietnamese,185,2e-4
1988,Vietnamese,197,2e-4
1989,Vietnamese,237,2e-4
1990,Vietnamese,327,3e-4
1991,Vietnamese,481,4e-4
1992,Vietnamese,668,6e-4
1993,Vietnamese,846,7e-4
1994,Vietnamese,974,9e-4
1995,Vietnamese,1010,9e-4
1996,Vietnamese,940,9e-4
1997,Vietnamese,862,8e-4
1998,Vietnamese,899,8e-4
1999,Vietnamese,1138,9e-4
2000,Vietnamese,1511,0.0012
2001,Vietnamese,1913,0.0014
2002,Vietnamese,2236,0.0016
2003,Vietnamese,2404,0.0017
2004,Vietnamese,2456,0.0017
2005,Vietnamese,2461,0.0016
2006,Vietnamese,2485,0.0016
2007,Vietnamese,2574,0.0016
2008,Vietnamese,2674,0.0016
2009,Vietnamese,2712,0.0016
2010,Vietnamese,2632,0.0015
2011,Vietnamese,2467,0.0014
2012,Vietnamese,2270,0.0014
2013,Vietnamese,2097,0.0013
2014,Vietnamese,1988,0.0013
2015,Vietnamese,1936,0.0013
2016,Vietnamese,1922,0.0014
2017,Vietnamese,1928,0.0015
2018,Vietnamese,1951,0.0016
2019,Vietnamese,1989,0.0016
2020,Vietnamese,2042,0.0017
2021,Vietnamese,2109,0.0018
