Year,Language,Pop,Pop_UsPct,Lang_Pop,Lang_Pop_UsPct,Eng_LesVw_Pop,Eng_LesVw_Pop_UsPct,HEdu_Pop,HEdu_UsPct,HEdu_Pct,HEdu_Ratio,Med_Inc,Inc_Ratio,Pvt_Pct,Pvt_Ratio
1950,Chinese,117140,0.0008,NA,NA,NA,NA,6195,0.0012,0.09,1.45,1799,0.99,0.267,0.83
1950,Japanese,141365,0.0009,NA,NA,NA,NA,6045,0.0011,0.073,1.18,1839,1.01,0.284,0.89
1950,Filipino,61636,0.0004,NA,NA,NA,NA,1370,0.0003,0.035,0.56,1689,0.93,0.281,0.88
1960,Chinese,237292,0.0013,NA,NA,NA,NA,23901,0.0031,0.183,2.26,5538,0.99,0.141,0.87
1960,Japanese,464332,0.0026,NA,NA,NA,NA,29164,0.0038,0.11,1.36,6271,1.12,0.128,0.79
1960,Filipino,176310,0.0010,NA,NA,NA,NA,8843,0.0012,0.09,1.11,4571,0.81,0.133,0.82
1970,Chinese,435062,0.0021,345431,0.0017,NA,NA,58241,0.0048,0.256,2.33,10610,1.12,0.133,1.09
1970,Japanese,591290,0.0029,408504,0.0020,NA,NA,56323,0.0047,0.159,1.45,12515,1.33,0.075,0.61
1970,Korean,74264,0.0004,53528,0.0003,NA,NA,13669,0.0011,0.363,3.3,9176,0.97,0.3,2.21
1970,Filipino,343060,0.0017,217907,0.0011,NA,NA,39751,0.0033,0.225,2.05,9318,0.99,0.137,1.12
1980,Chinese,812178,0.0036,514000,0.0023,252000,0.0011,181361,0.0084,0.366,2.26,19561,1.18,0.135,1.16
1980,Japanese,716331,0.0032,265000,0.0012,126000,0.0006,124717,0.0058,0.264,1.63,22517,1.36,0.065,0.56
1980,Korean,357393,0.0016,191000,0.0008,133000,0.0006,62495,0.0029,0.337,2.08,18145,1.1,0.117,1.01
1980,Filipino,781894,0.0035,419000,0.0018,228000,0.001,165168,0.0077,0.37,2.28,21926,1.32,0.071,0.61
1980,Hindi,387223,0.0017,203563,0.0009,59740,0.0003,123906,0.0058,0.519,3.2,20598,1.24,0.099,0.85
1980,Vietnamese,245025,0.0011,197588,0.0009,156809,0.0007,13226,0.0006,0.129,0.8,12549,0.76,0.355,3.06
1990,Chinese,1645472,0.0066,1249213,0.0050,752936,0.003,438493,0.0136,0.407,2,36259,1.21,0.14,1.09
1990,Japanese,847562,0.0034,427657,0.0017,224460,0.0009,216376,0.0067,0.345,1.7,41626,1.38,0.07,0.55
1990,Korean,798849,0.0032,626478,0.0025,383539,0.0015,157063,0.0049,0.345,1.7,30184,1,0.137,1.07
1990,Filipino,1406770,0.0057,843258,0.0034,287006,0.0012,339937,0.0105,0.393,1.94,43780,1.46,0.064,0.5
1990,Hindi,815447,0.0033,331484,0.0013,96779,0.0004,269554,0.0084,0.581,2.86,44696,1.49,0.097,0.76
1990,Vietnamese,614547,0.0025,507069,0.0020,320862,0.0013,52946,0.0016,0.174,0.86,29772,0.99,0.257,2.01
2000,Chinese,2432585,0.0086,2022145,0.0072,1166455,0.0041,798828,0.018,0.481,1.97,51444,1.22,0.135,1.14
2000,Japanese,796700,0.0028,477995,0.0017,236290,0.0008,265248,0.006,0.419,1.72,52060,1.24,0.097,0.82
2000,Korean,1076872,0.0038,894065,0.0032,532900,0.0019,304272,0.0068,0.438,1.8,40037,0.95,0.148,1.25
2000,Filipino,1850314,0.0066,1224240,0.0044,396680,0.0014,550230,0.0124,0.438,1.8,60570,1.44,0.063,0.53
2000,Hindi,1678765,0.0060,317055,0.0011,71865,0.0003,668029,0.015,0.639,2.62,63669,1.51,0.098,0.83
2000,Vietnamese,1122528,0.0040,1009625,0.0036,667030,0.0024,134820,0.003,0.194,0.8,45085,1.07,0.16,1.36