Year,Language,Lang_Enrol,Lang_Enrol_Pct,Pop,Pop_UsPct,Lang_Pop,Lang_Pop_UsPct,Eng_LesVw_Pop,Eng_LesVw_Pop_UsPct,HEdu_Pop,HEdu_UsPct,HEdu_Pct,HEdu_Ratio,Med_Inc,Inc_Ratio,Pvt_Pct,Pvt_Ratio,Intl_Stud,Intl_Stud_Pct,Total_Trade,Trade_Pct,Total_Stud,Presidency,Party_Gov,Lan_UsPct
1958,Chinese,615,0.0014,162925,0.001,NA,NA,NA,NA,13236,0.002,0.127,1.79,3248,0.99,0.215,0.84,0,0,0,0,3242000,Republican,Divided,1.9e-4
1959,Chinese,959,0.0018,202762,0.0012,NA,NA,NA,NA,19083,0.0026,0.158,2.05,4488,0.99,0.173,0.85,0,0,0,0,3639847,Republican,Divided,2.6e-4
1960,Chinese,1833,0.003,237292,0.0013,NA,NA,NA,NA,23901,0.0031,0.183,2.26,5538,0.99,0.141,0.87,-0,0,0,0,3570000,Republican,Divided,5.1e-4
1961,Chinese,2200,0.0034,267160,0.0014,NA,NA,NA,NA,27863,0.0035,0.202,2.41,6419,1,0.118,0.89,1,0,0,0,4145065,Democrat,Unified,5.3e-4
1962,Chinese,2299,0.0032,293023,0.0015,NA,NA,NA,NA,31165,0.0038,0.217,2.51,7155,1.01,0.103,0.91,2,0,0,0,4208000,Democrat,Unified,5.5e-4
1963,Chinese,2444,0.003,315541,0.0016,NA,NA,NA,NA,34010,0.004,0.227,2.56,7767,1.02,0.095,0.93,4,0,0,0,4779609,Democrat,Unified,5.1e-4
1964,Chinese,2818,0.003,335377,0.0017,NA,NA,NA,NA,36603,0.0042,0.234,2.58,8281,1.03,0.092,0.95,5,-0,0,0,5280020,Democrat,Unified,5.3e-4
1965,Chinese,3359,0.0032,353191,0.0018,NA,NA,NA,NA,39146,0.0043,0.239,2.57,8720,1.05,0.094,0.98,8,0,0,0,5920864,Democrat,Unified,5.7e-4
1966,Chinese,3954,0.0036,369643,0.0018,NA,NA,NA,NA,41843,0.0044,0.242,2.53,9107,1.06,0.1,1,11,0,0,0,6389872,Democrat,Unified,6.2e-4
1967,Chinese,4538,0.0041,385396,0.0019,NA,NA,NA,NA,44898,0.0045,0.245,2.49,9466,1.08,0.108,1.02,13,0,0,0,6911748,Democrat,Unified,6.6e-4
1968,Chinese,5061,0.0045,401109,0.002,NA,NA,NA,NA,48514,0.0046,0.248,2.43,9820,1.09,0.116,1.05,16,-0,0,0,7513091,Democrat,Unified,6.7e-4
1969,Chinese,5535,0.0048,417444,0.002,NA,NA,NA,NA,52893,0.0047,0.251,2.38,10194,1.11,0.125,1.07,19,0,0,0,8004660,Republican,Divided,6.9e-4
1970,Chinese,6238,0.0054,435062,0.0021,345431,0.0017,NA,NA,58241,0.0048,0.256,2.33,10610,1.12,0.133,1.09,20,-0,0,0,8580887,Republican,Divided,7.3e-4
1971,Chinese,7393,0.0068,454609,0.0022,320631,0.0016,NA,NA,64731,0.005,0.263,2.3,11090,1.13,0.139,1.11,20,0,5,1e-4,8948644,Republican,Divided,8.3e-4
1972,Chinese,8752,0.0085,476670,0.0023,306498,0.0015,NA,NA,72426,0.0052,0.273,2.27,11642,1.14,0.143,1.13,21,-0,92,9e-4,9214860,Republican,Divided,9.5e-4
1973,Chinese,9949,0.0102,501816,0.0024,302504,0.0015,NA,NA,81359,0.0055,0.283,2.26,12276,1.15,0.145,1.14,21,0,753,0.0054,9602123,Republican,Divided,0.00104
1974,Chinese,10616,0.0112,530619,0.0025,308120,0.0015,NA,NA,91563,0.0058,0.295,2.26,12997,1.15,0.145,1.15,22,0,921,0.0046,10223729,Republican,Divided,0.00104
1975,Chinese,10536,0.0113,563649,0.0026,322817,0.0016,NA,NA,103073,0.0062,0.308,2.26,13812,1.16,0.145,1.16,218,0.001,462,0.0023,11184859,Republican,Divided,9.4e-4
1976,Chinese,10088,0.0108,601476,0.0028,346065,0.0017,NA,NA,115920,0.0066,0.321,2.26,14730,1.16,0.144,1.17,413,0.001,336,0.0014,11012137,Republican,Divided,9.2e-4
1977,Chinese,9798,0.0105,644672,0.0029,377337,0.0018,NA,NA,130139,0.007,0.334,2.26,15756,1.17,0.142,1.17,609,0.002,372,0.0014,11285787,Democrat,Unified,8.7e-4
1978,Chinese,10054,0.0108,693807,0.0031,416102,0.0019,NA,NA,145763,0.0074,0.346,2.27,16899,1.17,0.139,1.17,804,0.002,1145,0.0036,11260092,Democrat,Unified,8.9e-4
1979,Chinese,10682,0.0116,749452,0.0034,461833,0.0021,NA,NA,162826,0.0079,0.357,2.27,18165,1.18,0.137,1.17,1000,0.003,2316,0.006,11569899,Democrat,Unified,9.2e-4
1980,Chinese,11366,0.0123,812178,0.0036,514000,0.0023,252000,0.0011,181361,0.0084,0.366,2.26,19561,1.18,0.135,1.16,2770,0.009,4813,0.0103,12096895,Democrat,Unified,9.4e-4
1981,Chinese,11887,0.0127,882247,0.0039,572050,0.0025,293770,0.0013,201385,0.0089,0.374,2.25,21089,1.18,0.133,1.15,4375,0.014,5468,0.011,12371672,Republican,Divided,9.6e-4
1982,Chinese,12406,0.0131,958684,0.0042,635334,0.0028,338054,0.0015,222848,0.0094,0.38,2.23,22725,1.19,0.132,1.13,5721,0.018,5196,0.0114,12425780,Republican,Divided,0.001
1983,Chinese,13178,0.0137,1040207,0.0045,703178,0.003,384603,0.0017,245685,0.0099,0.384,2.2,24441,1.2,0.131,1.12,7424,0.023,4420,0.0096,12464661,Republican,Divided,0.00106
1984,Chinese,14359,0.0148,1125532,0.0048,774910,0.0033,433167,0.0019,269831,0.0105,0.388,2.17,26208,1.2,0.131,1.1,10100,0.03,6069,0.0112,12241940,Republican,Divided,0.00117
1985,Chinese,15710,0.016,1213376,0.0051,849855,0.0036,483498,0.0021,295219,0.011,0.391,2.14,27997,1.21,0.131,1.09,13980,0.041,7717.4,0.0139,12247055,Republican,Divided,0.00128
1986,Chinese,16891,0.0168,1302456,0.0054,927340,0.0039,535346,0.0023,321783,0.0115,0.393,2.11,29779,1.21,0.132,1.08,18099,0.052,7877.299999999999,0.0133,12503511,Republican,Divided,0.00135
1987,Chinese,17661,0.0169,1391488,0.0058,1006691,0.0041,588463,0.0025,349459,0.012,0.396,2.07,31525,1.21,0.133,1.07,22470,0.063,9790.900000000001,0.0148,12766642,Republican,Divided,0.00138
1988,Chinese,18173,0.0166,1479191,0.0061,1087237,0.0044,642600,0.0026,378179,0.0126,0.399,2.05,33206,1.21,0.135,1.07,27449,0.074,13532.5,0.0176,13055337,Republican,Divided,0.00139
1989,Chinese,18678,0.0163,1564280,0.0063,1168302,0.0047,697507,0.0028,407879,0.0131,0.402,2.02,34794,1.21,0.137,1.08,33390,0.086,17745.1,0.0212,13538560,Republican,Divided,0.00138
1990,Chinese,19427,0.0164,1645472,0.0066,1249213,0.005,752936,0.003,438493,0.0136,0.407,2,36259,1.21,0.14,1.09,39597,0.097,20043.8,0.0226,13818637,Republican,Divided,0.00141
1991,Chinese,20599,0.0172,1721956,0.0068,1329418,0.0053,808523,0.0032,469973,0.0141,0.413,1.99,37586,1.21,0.143,1.11,42940,0.102,25247.4,0.0279,14358953,Republican,Divided,0.00143
1992,Chinese,22078,0.0187,1794808,0.007,1408845,0.0055,863445,0.0033,502346,0.0146,0.419,1.98,38815,1.2,0.147,1.14,45130,0.103,33146,0.034,14487359,Republican,Divided,0.00152
1993,Chinese,23675,0.0203,1865576,0.0072,1487543,0.0058,916766,0.0035,535655,0.0151,0.427,1.97,39998,1.19,0.15,1.17,44381,0.099,40302.799999999996,0.0385,14304803,Democrat,Unified,0.00166
1994,Chinese,25202,0.0219,1935807,0.0074,1565562,0.006,967548,0.0036,569947,0.0155,0.435,1.97,41188,1.19,0.152,1.2,39403,0.087,48068.5,0.041,14278790,Democrat,Unified,0.00176
1995,Chinese,26471,0.0232,2007048,0.0076,1642949,0.0062,1014855,0.0037,605266,0.016,0.443,1.98,42438,1.18,0.154,1.22,39613,0.087,57296.9,0.0433,14261781,Democrat,Divided,0.0018600000000000001
1996,Chinese,27354,0.0239,2080848,0.0077,1719756,0.0065,1057749,0.0039,641657,0.0164,0.452,1.98,43802,1.18,0.154,1.24,42503,0.093,63505.40000000001,0.0449,14367520,Democrat,Divided,0.0019
1997,Chinese,27967,0.0241,2158754,0.0079,1796029,0.0067,1095293,0.004,679163,0.0168,0.46,1.98,45331,1.18,0.153,1.24,46958,0.098,75419.9,0.0485,14502334,Democrat,Divided,0.00193
1998,Chinese,28488,0.024,2242314,0.0081,1871819,0.0069,1126550,0.004,717831,0.0172,0.468,1.98,47079,1.19,0.149,1.23,51001,0.104,85409.8,0.0537,14506967,Democrat,Divided,0.00196
1999,Chinese,29111,0.0237,2333075,0.0083,1947175,0.007,1150583,0.0041,757704,0.0176,0.475,1.98,49099,1.2,0.144,1.2,54466,0.106,94899.29999999999,0.0547,14849691,Democrat,Divided,0.00196
2000,Chinese,30093,0.0235,2432585,0.0086,2022145,0.0072,1166455,0.0041,798828,0.018,0.481,1.97,51444,1.22,0.135,1.14,59939,0.109,116203.40000000001,0.0576,15312289,Democrat,Divided,0.00197
2001,Chinese,31708,0.0237,2541599,0.0089,2096721,0.0074,1173802,0.0041,841192,0.0184,0.486,1.96,54127,1.24,0.124,1.06,63211,0.108,121460.70000000001,0.0644,15927987,Republican,Divided,0.00199
2002,Chinese,34227,0.0245,2657703,0.0092,2170661,0.0075,1174555,0.0041,884562,0.0187,0.49,1.94,57006,1.27,0.11,0.96,64757,0.11,147320.3,0.0787,16611711,Republican,Divided,0.00206
2003,Chinese,37810,0.0261,2777689,0.0095,2243666,0.0076,1171216,0.004,928652,0.019,0.494,1.92,59899,1.3,0.096,0.86,61765,0.108,180804.03975700002,0.0903,16911481,Republican,Unified,0.00224
2004,Chinese,42157,0.0282,2898351,0.0099,2315437,0.0078,1166288,0.004,973174,0.0194,0.497,1.9,62624,1.33,0.083,0.76,62523,0.111,231109.80639100002,0.1,17272044,Republican,Unified,0.00244
2005,Chinese,46855,0.0306,3016482,0.0102,2385674,0.0079,1162276,0.004,1017838,0.0197,0.499,1.88,65000,1.35,0.072,0.67,62582,0.111,284662.114918,0.1091,17487475,Republican,Unified,0.00268
2006,Chinese,51490,0.0327,3128873,0.0105,2454078,0.0081,1161681,0.0039,1062358,0.02,0.502,1.87,66844,1.37,0.065,0.61,67723,0.116,341447.36095500004,0.117,17754230,Republican,Unified,0.0029
2007,Chinese,55683,0.0344,3232319,0.0108,2520349,0.0082,1167009,0.0039,1106446,0.0204,0.505,1.85,67976,1.38,0.062,0.59,81127,0.13,384379.7585100001,0.122,18258138,Republican,Divided,0.00305
2008,Chinese,59194,0.0358,3323612,0.011,2584189,0.0084,1180761,0.0039,1149812,0.0207,0.509,1.84,68212,1.37,0.065,0.61,98235,0.146,407505.465366,0.1181,19081686,Republican,Divided,0.0031
2009,Chinese,61817,0.0369,3399546,0.0111,2645297,0.0085,1205441,0.0039,1192170,0.021,0.513,1.84,67372,1.34,0.075,0.69,127628,0.185,365870.56209900003,0.138,20313594,Democrat,Unified,0.00304
2010,Chinese,63392,0.038,3456912,0.0112,2703375,0.0087,1243552,0.004,1233232,0.0214,0.518,1.84,65273,1.3,0.094,0.83,157558,0.218,456863.714539,0.1415,21019438,Democrat,Unified,0.00302
2011,Chinese,63937,0.0389,3520150,0.0113,2767564,0.0089,1289685,0.0041,1274530,0.0217,0.523,1.84,63399,1.26,0.113,0.97,194029,0.254,503492.756266,0.1347,21010590,Democrat,Divided,0.00304
2012,Chinese,63518,0.0395,3660659,0.0117,2854788,0.0091,1313202,0.0042,1330903,0.0219,0.526,1.81,66261,1.29,0.106,0.9,235597,0.287,536135.698309,0.1387,20644478,Democrat,Divided,0.00308
2013,Chinese,62198,0.0398,3781673,0.012,2915620,0.0092,1320776,0.0042,1413267,0.0226,0.534,1.8,68149,1.3,0.106,0.91,274439,0.31,562176.208229,0.1446,20376677,Democrat,Divided,0.00305
2014,Chinese,60083,0.0396,3941615,0.0124,3032758,0.0095,1382938,0.0043,1478129,0.023,0.534,1.77,69586,1.3,0.106,0.94,304040,0.312,592132.098262,0.1473,20209092,Democrat,Divided,0.00297
2015,Chinese,57443,0.0391,4133674,0.0129,3203629,0.01,1470466,0.0046,1599006,0.0241,0.546,1.78,71219,1.28,0.103,0.97,328547,0.315,599075.0206780001,0.1583,19988204,Democrat,Divided,0.00287
2016,Chinese,54589,0.0385,4214856,0.013,3253217,0.0101,1473707,0.0046,1649430,0.0241,0.552,1.76,73788,1.28,0.104,1.04,350755,0.325,578014.77608,0.1577,19846904,Democrat,Divided,0.00275
2017,Chinese,51821,0.038,4344981,0.0133,3331478,0.0102,1492502,0.0046,1733124,0.0245,0.553,1.73,77136,1.28,0.099,1.04,363341,0.332,635162.3253,0.1623,19778151,Republican,Unified,0.00262
2018,Chinese,49396,0.0377,4395912,0.0134,3335318,0.0102,1420845,0.0043,1808099,0.0249,0.572,1.75,81487,1.32,0.091,0.98,369548,0.337,658795.372317,0.1556,19651412,Republican,Unified,0.00251
2019,Chinese,47563,0.0378,4404678,0.0134,3348155,0.0102,1406225,0.0043,1849271,0.0248,0.577,1.74,86281,1.31,0.081,0.94,372532,0.346,555591.894023,0.1333,19630178,Republican,Divided,0.00242
2020,Chinese,46569,0.0383,4389063,0.0133,3334789,0.0101,1399373,0.0043,1872462,0.0243,0.577,1.71,90474,1.29,0.079,0.96,317299,0.347,557129.5290260001,0.1474,19027410,Republican,Divided,0.00245
2021,Chinese,46661,0.0395,4360466,0.0131,3246355,0.0098,1331006,0.004,1894922,0.0237,0.586,1.67,93007,1.33,0.097,1.07,290086,0.306,655718.1462760001,0.1421,18658756,Democrat,Unified,0.0025
1958,Filipino,1,0,107023,6e-4,NA,NA,NA,NA,4343,6e-4,0.055,0.76,2817,0.88,0.218,0.84,1669,0.039,565,0.0184,3242000,Republican,Divided,0
1959,Filipino,1,0,144985,8e-4,NA,NA,NA,NA,6797,9e-4,0.073,0.94,3771,0.84,0.169,0.82,1722,0.036,588,0.0179,3639847,Republican,Divided,0
1960,Filipino,1,0,176310,0.001,NA,NA,NA,NA,8843,0.0012,0.09,1.11,4571,0.81,0.133,0.82,1727,0.033,604,0.0172,3570000,Republican,Divided,0
1961,Filipino,-0,0,201830,0.0011,NA,NA,NA,NA,10601,0.0014,0.106,1.26,5239,0.79,0.108,0.83,1832,0.031,649,0.0184,4145065,Democrat,Unified,-0
1962,Filipino,5,0,222560,0.0012,NA,NA,NA,NA,12225,0.0016,0.12,1.39,5797,0.79,0.093,0.86,2028,0.031,591,0.0155,4208000,Democrat,Unified,0
1963,Filipino,14,0,239558,0.0013,NA,NA,NA,NA,13875,0.0018,0.134,1.51,6272,0.79,0.086,0.9,2260,0.031,680,0.0168,4779609,Democrat,Unified,0
1964,Filipino,23,-0,253884,0.0014,NA,NA,NA,NA,15714,0.002,0.147,1.62,6687,0.81,0.086,0.94,2473,0.03,747,0.0166,5280020,Democrat,Unified,0
1965,Filipino,28,0,266598,0.0014,NA,NA,NA,NA,17902,0.0021,0.159,1.71,7067,0.83,0.091,0.99,2624,0.029,705,0.0144,5920864,Democrat,Unified,0
1966,Filipino,27,0,278759,0.0015,NA,NA,NA,NA,20603,0.0023,0.172,1.8,7438,0.85,0.1,1.03,2717,0.027,740,0.0132,6389872,Democrat,Unified,0
1967,Filipino,22,0,291426,0.0015,NA,NA,NA,NA,23976,0.0025,0.184,1.87,7824,0.88,0.11,1.07,2764,0.025,803,0.0138,6911748,Democrat,Unified,0
1968,Filipino,14,0,305659,0.0016,NA,NA,NA,NA,28184,0.0027,0.197,1.94,8249,0.92,0.121,1.1,2781,0.023,872,0.0128,7513091,Democrat,Unified,0
1969,Filipino,9,-0,322517,0.0016,NA,NA,NA,NA,33389,0.003,0.211,2,8739,0.95,0.13,1.12,2782,0.021,797,0.0108,8004660,Republican,Divided,0
1970,Filipino,31,0,343060,0.0017,217907,0.0011,NA,NA,39751,0.0033,0.225,2.05,9318,0.99,0.137,1.12,2772,0.02,845,0.0102,8580887,Republican,Divided,0
1971,Filipino,98,1e-4,368145,0.0018,218656,0.0011,NA,NA,47396,0.0036,0.24,2.1,10007,1.03,0.14,1.11,2720,0.019,836,0.0093,8948644,Republican,Divided,1e-5
1972,Filipino,189,1e-4,397819,0.0019,224418,0.0011,NA,NA,56297,0.004,0.256,2.14,10814,1.06,0.138,1.07,2586,0.018,856,0.0081,9214860,Republican,Divided,2e-5
1973,Filipino,274,2e-4,431928,0.0021,234926,0.0011,NA,NA,66391,0.0045,0.272,2.18,11742,1.1,0.134,1.03,2357,0.016,1159,0.0083,9602123,Republican,Divided,3e-5
1974,Filipino,325,3e-4,470317,0.0022,249914,0.0012,NA,NA,77616,0.0049,0.289,2.22,12795,1.13,0.127,0.98,2130,0.014,1838,0.0092,10223729,Republican,Divided,3e-5
1975,Filipino,321,3e-4,512833,0.0024,269116,0.0012,NA,NA,89908,0.0054,0.305,2.25,13976,1.17,0.119,0.92,2009,0.012,1588,0.0078,11184859,Republican,Divided,3e-5
1976,Filipino,287,3e-4,559320,0.0026,292264,0.0013,NA,NA,103204,0.0059,0.32,2.27,15288,1.2,0.109,0.85,2018,0.011,1701,0.0072,11012137,Republican,Divided,3e-5
1977,Filipino,255,3e-4,609624,0.0028,319093,0.0014,NA,NA,117441,0.0063,0.335,2.28,16736,1.23,0.099,0.79,2165,0.01,1979,0.0074,11285787,Democrat,Unified,2e-5
1978,Filipino,251,3e-4,663591,0.003,349337,0.0015,NA,NA,132556,0.0068,0.348,2.29,18322,1.26,0.088,0.72,2453,0.01,2248,0.0071,11260092,Democrat,Unified,2e-5
1979,Filipino,261,3e-4,721066,0.0033,382728,0.0017,NA,NA,148486,0.0073,0.36,2.29,20051,1.29,0.079,0.66,2890,0.01,3060,0.0079,11569899,Democrat,Unified,2e-5
1980,Filipino,263,3e-4,781894,0.0035,419000,0.0018,228000,0.001,165168,0.0077,0.37,2.28,21926,1.32,0.071,0.61,3390,0.011,3730,0.008,12096895,Democrat,Unified,2e-5
1981,Filipino,240,3e-4,845788,0.0037,457849,0.002,222841,0.001,182519,0.0081,0.378,2.26,23945,1.34,0.065,0.57,3625,0.012,3751,0.0076,12371672,Republican,Divided,2e-5
1982,Filipino,206,2e-4,911922,0.004,498816,0.0021,220667,0.001,200379,0.0085,0.383,2.24,26082,1.37,0.061,0.54,3640,0.012,3660,0.008,12425780,Republican,Divided,2e-5
1983,Filipino,181,2e-4,979341,0.0043,541405,0.0023,221280,0.001,218567,0.0088,0.388,2.21,28308,1.39,0.058,0.51,3597,0.011,3808,0.0083,12464661,Republican,Divided,1e-5
1984,Filipino,180,2e-4,1047086,0.0045,585121,0.0025,224482,0.001,236903,0.0092,0.39,2.18,30591,1.41,0.057,0.5,3660,0.011,4196,0.0077,12241940,Republican,Divided,1e-5
1985,Filipino,196,2e-4,1114199,0.0047,629465,0.0026,230077,0.0011,255207,0.0094,0.392,2.14,32901,1.42,0.057,0.49,3920,0.011,3524.2999999999993,0.0064,12247055,Republican,Divided,2e-5
1986,Filipino,220,2e-4,1179722,0.005,673943,0.0028,237865,0.0011,273299,0.0097,0.393,2.1,35207,1.43,0.057,0.48,4223,0.012,3335.5,0.0056,12503511,Republican,Divided,2e-5
1987,Filipino,242,2e-4,1242699,0.0052,718058,0.003,247650,0.0011,290998,0.0099,0.393,2.06,37478,1.44,0.059,0.48,4471,0.013,3863,0.0059,12766642,Republican,Divided,2e-5
1988,Filipino,266,2e-4,1302171,0.0054,761312,0.0031,259234,0.0011,308124,0.0102,0.393,2.02,39685,1.45,0.06,0.49,4599,0.013,4544.7,0.0059,13055337,Republican,Divided,2e-5
1989,Filipino,298,3e-4,1357180,0.0056,803211,0.0033,272418,0.0012,324497,0.0103,0.393,1.98,41796,1.46,0.062,0.49,4540,0.012,5269.799999999999,0.0063,13538560,Republican,Divided,2e-5
1990,Filipino,342,3e-4,1406770,0.0057,843258,0.0034,287006,0.0012,339937,0.0105,0.393,1.94,43780,1.46,0.064,0.5,4273,0.01,5854.6,0.0066,13818637,Republican,Divided,2e-5
1991,Filipino,403,4e-4,1450438,0.0058,881148,0.0035,302729,0.0012,354410,0.0106,0.394,1.91,45618,1.46,0.066,0.51,3950,0.009,5736.299999999999,0.0063,14358953,Republican,Divided,3e-5
1992,Filipino,475,4e-4,1489510,0.0059,917342,0.0036,319041,0.0013,368471,0.0108,0.395,1.88,47332,1.46,0.067,0.52,3700,0.008,7113.5999999999995,0.0073,14487359,Republican,Divided,3e-5
1993,Filipino,551,5e-4,1525766,0.006,952494,0.0037,335325,0.0013,382820,0.0109,0.397,1.86,48955,1.45,0.068,0.52,3528,0.008,8422.6,0.008,14304803,Democrat,Unified,4e-5
1994,Filipino,622,5e-4,1560987,0.006,987256,0.0038,350963,0.0013,398159,0.011,0.4,1.84,50521,1.45,0.068,0.53,3472,0.008,9605.099999999999,0.0082,14278790,Democrat,Unified,4e-5
1995,Filipino,680,6e-4,1596954,0.0061,1022283,0.0039,365338,0.0013,415189,0.0111,0.404,1.82,52063,1.44,0.068,0.53,3127,0.007,12301.3,0.0093,14261781,Democrat,Divided,5e-5
1996,Filipino,721,6e-4,1635448,0.0061,1058227,0.004,377834,0.0014,434610,0.0113,0.409,1.81,53614,1.44,0.068,0.54,2796,0.006,14303.800000000001,0.0101,14367520,Democrat,Divided,5e-5
1997,Filipino,755,7e-4,1678250,0.0062,1095742,0.0041,387833,0.0014,457123,0.0115,0.414,1.8,55207,1.44,0.067,0.54,2801,0.006,17862.300000000003,0.0115,14502334,Democrat,Divided,5e-5
1998,Filipino,794,7e-4,1727141,0.0063,1135480,0.0042,394718,0.0014,483431,0.0117,0.421,1.8,56875,1.43,0.066,0.54,2864,0.006,18683.8,0.0118,14506967,Democrat,Divided,5e-5
1999,Filipino,849,7e-4,1783902,0.0064,1178095,0.0043,397873,0.0014,514232,0.012,0.429,1.8,58651,1.44,0.065,0.54,3143,0.006,19575.100000000002,0.0113,14849691,Democrat,Divided,6e-5
2000,Filipino,924,7e-4,1850314,0.0066,1224240,0.0044,396680,0.0014,550230,0.0124,0.438,1.8,60570,1.44,0.063,0.53,3139,0.006,22733.699999999997,0.0113,15312289,Democrat,Divided,6e-5
2001,Filipino,1021,8e-4,1927233,0.0068,1274156,0.0045,390872,0.0014,591646,0.0128,0.448,1.81,62647,1.45,0.061,0.52,3295,0.006,18985.5,0.0101,15927987,Republican,Divided,6e-5
2002,Filipino,1142,8e-4,2011820,0.007,1326434,0.0047,381578,0.0014,636792,0.0133,0.459,1.82,64832,1.46,0.058,0.51,3576,0.006,18255.9,0.0098,16611711,Republican,Divided,7e-5
2003,Filipino,1284,9e-4,2100307,0.0073,1379255,0.0048,370279,0.0013,683501,0.0138,0.469,1.83,67059,1.47,0.056,0.5,3467,0.006,18046.330027,0.009,16911481,Republican,Unified,8e-5
2004,Filipino,1423,9e-4,2188931,0.0075,1430797,0.0049,358454,0.0013,729605,0.0143,0.479,1.83,69260,1.49,0.053,0.48,3531,0.006,16223.644115,0.007,17272044,Republican,Unified,8e-5
